judge_model,language,dimension,protocol_a,protocol_a_name,protocol_b,protocol_b_name,n,mean_score_a,mean_score_b,mean_score_delta_b_minus_a,mean_abs_score_shift,score_disagreement_rate,large_shift_rate_abs_ge_2,spearman_delta_b_minus_a,spearman_delta_ci_low,spearman_delta_ci_high,spearman_prob_delta_gt_0,auroc_delta_b_minus_a,auroc_delta_ci_low,auroc_delta_ci_high,auroc_prob_delta_gt_0
gpt-4.1-mini,es-ES,comprehensibility,P0_direct_english,Direct English rubric,P1_target_rubric,Target-language rubric,25,3.4,2.92,-0.48,0.48,0.4,0.04,-0.06297377317024155,-0.2298988896398942,0.06952262149800625,0.219,-0.03205128205128205,-0.12675000000000003,0.038461538461538436,0.177
gpt-4.1-mini,es-ES,comprehensibility,P0_direct_english,Direct English rubric,P2_explicit_pivot,Explicit English pivot,25,3.4,3.08,-0.32,0.8,0.48,0.16,-0.2766578783408204,-0.6557133260472285,0.009169408635677393,0.032,-0.15384615384615385,-0.3365416666666667,0.003477328431372532,0.027
gpt-4.1-mini,es-ES,comprehensibility,P0_direct_english,Direct English rubric,P3_bilingual,Bilingual rubric,25,3.4,3.2,-0.2,0.2,0.2,0.0,-0.047947859244855784,-0.17075327698016907,0.034795160118410766,0.17,-0.022435897435897467,-0.08333333333333337,0.02002083333333333,0.194
gpt-4.1-mini,es-ES,comprehensibility,P1_target_rubric,Target-language rubric,P2_explicit_pivot,Explicit English pivot,25,2.92,3.08,0.16,0.64,0.48,0.12,-0.21368410517057884,-0.48650390655049713,0.017081042292316276,0.037,-0.1217948717948718,-0.273375,8.116883116875529e-05,0.025
gpt-4.1-mini,es-ES,comprehensibility,P1_target_rubric,Target-language rubric,P3_bilingual,Bilingual rubric,25,2.92,3.2,0.28,0.36,0.28,0.04,0.01502591392538577,-0.18496532146590403,0.20799321935499507,0.571,0.009615384615384581,-0.09744915011459127,0.11690221543162711,0.542
gpt-4.1-mini,es-ES,comprehensibility,P2_explicit_pivot,Explicit English pivot,P3_bilingual,Bilingual rubric,25,3.08,3.2,0.12,0.76,0.44,0.16,0.2287100190959646,-0.11282944593498846,0.6228609677207047,0.881,0.1314102564102564,-0.04514678030303036,0.32693014705882345,0.916
gpt-4.1-mini,es-ES,grammar,P0_direct_english,Direct English rubric,P1_target_rubric,Target-language rubric,25,4.48,4.36,-0.12,0.2,0.2,0.0,0.1231913311858476,-0.14045881881095443,0.43100418320801337,0.795,0.06730769230769229,-0.0729270833333334,0.21160714285714283,0.815
gpt-4.1-mini,es-ES,grammar,P0_direct_english,Direct English rubric,P2_explicit_pivot,Explicit English pivot,25,4.48,3.8,-0.68,0.92,0.52,0.2,0.1577855151519794,-0.33527286017039737,0.6868257824963357,0.738,0.09294871794871795,-0.19008333333333327,0.3621794871794872,0.753
gpt-4.1-mini,es-ES,grammar,P0_direct_english,Direct English rubric,P3_bilingual,Bilingual rubric,25,4.48,4.6,0.12,0.2,0.2,0.0,0.13756470743975133,-0.13558737040355293,0.43866054555688366,0.795,0.05769230769230771,-0.07792207792207784,0.20003246753246745,0.752
gpt-4.1-mini,es-ES,grammar,P1_target_rubric,Target-language rubric,P2_explicit_pivot,Explicit English pivot,25,4.36,3.8,-0.56,0.8,0.44,0.2,0.034594183966131786,-0.4790531611433388,0.5662407844761075,0.581,0.02564102564102566,-0.21333333333333337,0.29666666666666663,0.607
gpt-4.1-mini,es-ES,grammar,P1_target_rubric,Target-language rubric,P3_bilingual,Bilingual rubric,25,4.36,4.6,0.24,0.24,0.24,0.0,0.014373376253903725,-0.2967115047203277,0.37085411199571994,0.538,-0.009615384615384581,-0.16675347222222217,0.14930668290043286,0.429
gpt-4.1-mini,es-ES,grammar,P2_explicit_pivot,Explicit English pivot,P3_bilingual,Bilingual rubric,25,3.8,4.6,0.8,0.88,0.48,0.2,-0.02022080771222806,-0.4910699878308334,0.4353624335416904,0.449,-0.03525641025641024,-0.2933717948717949,0.1748387896825394,0.386
gpt-4.1-mini,tr,comprehensibility,P0_direct_english,Direct English rubric,P1_target_rubric,Target-language rubric,25,2.88,2.64,-0.24,0.4,0.32,0.08,-0.010813428666534453,-0.15482530257982938,0.11090885640645311,0.457,-0.0064102564102563875,-0.09335389610389615,0.0608974358974359,0.464
gpt-4.1-mini,tr,comprehensibility,P0_direct_english,Direct English rubric,P2_explicit_pivot,Explicit English pivot,25,2.88,2.96,0.08,1.04,0.56,0.32,-0.5608948116100899,-0.9297673161161014,-0.23898393111751812,0.0,-0.3173076923076923,-0.5098172660672662,-0.14998376623376627,0.0
gpt-4.1-mini,tr,comprehensibility,P0_direct_english,Direct English rubric,P3_bilingual,Bilingual rubric,25,2.88,2.68,-0.2,0.2,0.2,0.0,0.06671983653433111,-0.00561582873053098,0.1797725035535322,0.952,0.03525641025641024,-0.003248917748917776,0.10580357142857147,0.935
gpt-4.1-mini,tr,comprehensibility,P1_target_rubric,Target-language rubric,P2_explicit_pivot,Explicit English pivot,25,2.64,2.96,0.32,1.04,0.6,0.32,-0.5500813829435555,-0.9106762885775744,-0.24044331033139354,0.0,-0.3108974358974359,-0.5160308441558442,-0.1314102564102564,0.0
gpt-4.1-mini,tr,comprehensibility,P1_target_rubric,Target-language rubric,P3_bilingual,Bilingual rubric,25,2.64,2.68,0.04,0.36,0.28,0.08,0.07753326520086556,-0.021297721702399474,0.273984847661154,0.878,0.04166666666666663,-0.019237012987013028,0.14938290875790872,0.737
gpt-4.1-mini,tr,comprehensibility,P2_explicit_pivot,Explicit English pivot,P3_bilingual,Bilingual rubric,25,2.96,2.68,-0.28,1.16,0.64,0.36,0.627614648144421,0.32929518356414045,0.974588313323538,1.0,0.35256410256410253,0.18177272727272722,0.5441365007541479,1.0
gpt-4.1-mini,tr,grammar,P0_direct_english,Direct English rubric,P1_target_rubric,Target-language rubric,25,3.96,3.64,-0.32,0.48,0.4,0.08,0.1874575158587518,-0.06949623972025966,0.4853543442952774,0.907,0.10256410256410259,-0.04004166666666664,0.25321180555555556,0.903
gpt-4.1-mini,tr,grammar,P0_direct_english,Direct English rubric,P2_explicit_pivot,Explicit English pivot,25,3.96,3.92,-0.04,0.84,0.56,0.2,0.1582937191627044,-0.28934594235012684,0.6458301224926103,0.724,0.08653846153846151,-0.17005194805194804,0.35334740259740266,0.749
gpt-4.1-mini,tr,grammar,P0_direct_english,Direct English rubric,P3_bilingual,Bilingual rubric,25,3.96,3.76,-0.2,0.28,0.24,0.04,0.0410103446687275,-0.19138045060197723,0.3019112444107729,0.605,0.02243589743589741,-0.10071645021645022,0.16029411764705878,0.601
gpt-4.1-mini,tr,grammar,P1_target_rubric,Target-language rubric,P2_explicit_pivot,Explicit English pivot,25,3.64,3.92,0.28,0.84,0.6,0.16,-0.02916379669604742,-0.47572218797989463,0.3869418798774277,0.407,-0.01602564102564108,-0.2536837651727357,0.2501666666666666,0.458
gpt-4.1-mini,tr,grammar,P1_target_rubric,Target-language rubric,P3_bilingual,Bilingual rubric,25,3.64,3.76,0.12,0.28,0.28,0.0,-0.14644717119002432,-0.35776056220631997,0.05906093198223244,0.079,-0.08012820512820518,-0.20455334595959598,0.03246753246753242,0.084
gpt-4.1-mini,tr,grammar,P2_explicit_pivot,Explicit English pivot,P3_bilingual,Bilingual rubric,25,3.92,3.76,-0.16,0.8,0.56,0.16,-0.11728337449397691,-0.6177632480983892,0.31104517956325023,0.338,-0.0641025641025641,-0.3333603896103896,0.19341666666666657,0.313
gpt-4.1-mini,vi,comprehensibility,P0_direct_english,Direct English rubric,P1_target_rubric,Target-language rubric,25,3.56,3.4,-0.16,0.56,0.52,0.04,0.04572142163048776,-0.25546442035669964,0.32535860092072383,0.654,0.022435897435897467,-0.14938785173160174,0.16351461038961032,0.608
gpt-4.1-mini,vi,comprehensibility,P0_direct_english,Direct English rubric,P2_explicit_pivot,Explicit English pivot,25,3.56,3.48,-0.08,0.96,0.68,0.24,-0.3016132090273441,-0.6955111883913406,0.10048732926674553,0.072,-0.16987179487179482,-0.37179487179487175,0.06089743589743579,0.072
gpt-4.1-mini,vi,comprehensibility,P0_direct_english,Direct English rubric,P3_bilingual,Bilingual rubric,25,3.56,3.56,0.0,0.16,0.16,0.0,-0.06290748899485571,-0.2463806293155219,0.11459029762975949,0.212,-0.03525641025641024,-0.14002564102564094,0.07148109243697477,0.226
gpt-4.1-mini,vi,comprehensibility,P1_target_rubric,Target-language rubric,P2_explicit_pivot,Explicit English pivot,25,3.4,3.48,0.08,0.72,0.48,0.2,-0.3473346306578319,-0.6950454398807931,0.02590952506943373,0.031,-0.1923076923076923,-0.39705882352941174,0.010070512820512767,0.029
gpt-4.1-mini,vi,comprehensibility,P1_target_rubric,Target-language rubric,P3_bilingual,Bilingual rubric,25,3.4,3.56,0.16,0.48,0.44,0.04,-0.10862891062534347,-0.3573814610074225,0.16511905226901485,0.178,-0.05769230769230771,-0.17340705128205128,0.08456985294117648,0.212
gpt-4.1-mini,vi,comprehensibility,P2_explicit_pivot,Explicit English pivot,P3_bilingual,Bilingual rubric,25,3.48,3.56,0.08,0.96,0.68,0.24,0.23870572003248844,-0.17375035984762416,0.6089305239888096,0.875,0.13461538461538458,-0.08985389610389612,0.3571886446886446,0.89
gpt-4.1-mini,vi,grammar,P0_direct_english,Direct English rubric,P1_target_rubric,Target-language rubric,25,3.68,3.24,-0.44,0.76,0.68,0.08,-0.1593263253702003,-0.4927139260349701,0.12144168851626552,0.139,-0.08974358974358976,-0.26668402777777783,0.09002272727272732,0.151
gpt-4.1-mini,vi,grammar,P0_direct_english,Direct English rubric,P2_explicit_pivot,Explicit English pivot,25,3.68,3.56,-0.12,0.84,0.64,0.2,-0.6155616403295467,-0.944308298586287,-0.3228581144255246,0.0,-0.34294871794871795,-0.5400110294117647,-0.17530663780663783,0.0
gpt-4.1-mini,vi,grammar,P0_direct_english,Direct English rubric,P3_bilingual,Bilingual rubric,25,3.68,3.52,-0.16,0.24,0.24,0.0,-0.07277364927038432,-0.24896345776339318,0.09538303511958661,0.204,-0.04487179487179482,-0.14107142857142851,0.04548484848484842,0.139
gpt-4.1-mini,vi,grammar,P1_target_rubric,Target-language rubric,P2_explicit_pivot,Explicit English pivot,25,3.24,3.56,0.32,0.8,0.6,0.16,-0.45623531495934644,-0.8082047574343413,-0.11000703065954993,0.003,-0.2532051282051282,-0.4444711538461538,-0.0641025641025641,0.003
gpt-4.1-mini,vi,grammar,P1_target_rubric,Target-language rubric,P3_bilingual,Bilingual rubric,25,3.24,3.52,0.28,0.6,0.56,0.04,0.08655267609981598,-0.1748912969852054,0.34999081344961913,0.743,0.044871794871794934,-0.1025833333333333,0.19449999999999992,0.725
gpt-4.1-mini,vi,grammar,P2_explicit_pivot,Explicit English pivot,P3_bilingual,Bilingual rubric,25,3.56,3.52,-0.04,0.84,0.6,0.16,0.5427879910591624,0.22240922883459052,0.8681114882219836,1.0,0.29807692307692313,0.12495833333333334,0.4936666666666666,1.0
