judge_model,language,dimension,protocol,protocol_name,split,n,calibration_fraction,baseline_threshold,calibrated_threshold,calibration_balanced_accuracy,baseline_accuracy,calibrated_accuracy,delta_accuracy,baseline_balanced_accuracy,calibrated_balanced_accuracy,delta_balanced_accuracy,baseline_f1,calibrated_f1,delta_f1
gpt-4.1-mini,es-ES,comprehensibility,P2_explicit_pivot,Explicit English pivot,calibration,4,0.3,4,2,0.75,0.75,0.75,0.0,0.75,0.75,0.0,0.6666666666666666,0.8,0.13333333333333341
gpt-4.1-mini,es-ES,comprehensibility,P2_explicit_pivot,Explicit English pivot,test,8,0.3,4,2,0.75,0.5,0.625,0.125,0.5,0.625,0.125,0.3333333333333333,0.7272727272727273,0.393939393939394
gpt-4.1-mini,es-ES,comprehensibility,P3_bilingual,Bilingual rubric,calibration,4,0.3,4,2,1.0,0.75,1.0,0.25,0.75,1.0,0.25,0.6666666666666666,1.0,0.33333333333333337
gpt-4.1-mini,es-ES,comprehensibility,P3_bilingual,Bilingual rubric,test,8,0.3,4,2,1.0,0.75,0.5,-0.25,0.75,0.5,-0.25,0.6666666666666666,0.6666666666666666,0.0
gpt-4.1-mini,es-ES,grammar,P0_direct_english,Direct English rubric,calibration,4,0.3,4,4,0.75,0.75,0.75,0.0,0.75,0.75,0.0,0.8,0.8,0.0
gpt-4.1-mini,es-ES,grammar,P0_direct_english,Direct English rubric,test,8,0.3,4,4,0.75,0.625,0.625,0.0,0.625,0.625,0.0,0.7272727272727273,0.7272727272727273,0.0
gpt-4.1-mini,es-ES,grammar,P1_target_rubric,Target-language rubric,calibration,4,0.3,4,3,0.75,0.75,0.75,0.0,0.75,0.75,0.0,0.8,0.8,0.0
gpt-4.1-mini,es-ES,grammar,P1_target_rubric,Target-language rubric,test,8,0.3,4,3,0.75,0.625,0.625,0.0,0.625,0.625,0.0,0.5714285714285715,0.5714285714285715,0.0
gpt-4.1-mini,es-ES,grammar,P2_explicit_pivot,Explicit English pivot,calibration,4,0.3,4,4,0.75,0.75,0.75,0.0,0.75,0.75,0.0,0.6666666666666666,0.6666666666666666,0.0
gpt-4.1-mini,es-ES,grammar,P2_explicit_pivot,Explicit English pivot,test,8,0.3,4,4,0.75,0.5,0.5,0.0,0.5,0.5,0.0,0.3333333333333333,0.3333333333333333,0.0
gpt-4.1-mini,es-ES,grammar,P3_bilingual,Bilingual rubric,calibration,4,0.3,4,3,0.75,0.75,0.75,0.0,0.75,0.75,0.0,0.8,0.8,0.0
gpt-4.1-mini,es-ES,grammar,P3_bilingual,Bilingual rubric,test,8,0.3,4,3,0.75,0.875,0.5,-0.375,0.875,0.5,-0.375,0.888888888888889,0.6666666666666666,-0.22222222222222232
gpt-4.1-mini,tr,comprehensibility,P0_direct_english,Direct English rubric,calibration,4,0.3,4,3,0.75,0.75,0.75,0.0,0.75,0.75,0.0,0.6666666666666666,0.6666666666666666,0.0
gpt-4.1-mini,tr,comprehensibility,P0_direct_english,Direct English rubric,test,8,0.3,4,3,0.75,0.875,0.875,0.0,0.875,0.875,0.0,0.8571428571428571,0.8571428571428571,0.0
gpt-4.1-mini,tr,comprehensibility,P1_target_rubric,Target-language rubric,calibration,4,0.3,4,2,0.75,0.75,0.75,0.0,0.75,0.75,0.0,0.6666666666666666,0.8,0.13333333333333341
gpt-4.1-mini,tr,comprehensibility,P1_target_rubric,Target-language rubric,test,8,0.3,4,2,0.75,0.75,0.75,0.0,0.75,0.75,0.0,0.6666666666666666,0.8,0.13333333333333341
gpt-4.1-mini,tr,comprehensibility,P2_explicit_pivot,Explicit English pivot,calibration,4,0.3,4,2,0.5,0.5,0.5,0.0,0.5,0.5,0.0,,0.6666666666666666,
gpt-4.1-mini,tr,comprehensibility,P2_explicit_pivot,Explicit English pivot,test,8,0.3,4,2,0.5,0.375,0.5,0.125,0.375,0.5,0.125,0.28571428571428575,0.6,0.3142857142857142
gpt-4.1-mini,tr,comprehensibility,P3_bilingual,Bilingual rubric,calibration,4,0.3,4,3,1.0,0.75,1.0,0.25,0.75,1.0,0.25,0.6666666666666666,1.0,0.33333333333333337
gpt-4.1-mini,tr,comprehensibility,P3_bilingual,Bilingual rubric,test,8,0.3,4,3,1.0,0.75,0.75,0.0,0.75,0.75,0.0,0.6666666666666666,0.6666666666666666,0.0
gpt-4.1-mini,tr,grammar,P0_direct_english,Direct English rubric,calibration,4,0.3,4,3,0.75,0.75,0.75,0.0,0.75,0.75,0.0,0.6666666666666666,0.6666666666666666,0.0
gpt-4.1-mini,tr,grammar,P0_direct_english,Direct English rubric,test,8,0.3,4,3,0.75,0.875,0.875,0.0,0.875,0.875,0.0,0.888888888888889,0.888888888888889,0.0
gpt-4.1-mini,tr,grammar,P1_target_rubric,Target-language rubric,calibration,4,0.3,4,2,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.6666666666666666,0.16666666666666663
gpt-4.1-mini,tr,grammar,P1_target_rubric,Target-language rubric,test,8,0.3,4,2,0.5,1.0,0.5,-0.5,1.0,0.5,-0.5,1.0,0.6666666666666666,-0.33333333333333337
gpt-4.1-mini,tr,grammar,P2_explicit_pivot,Explicit English pivot,calibration,4,0.3,4,3,0.75,0.75,0.75,0.0,0.75,0.75,0.0,0.6666666666666666,0.8,0.13333333333333341
gpt-4.1-mini,tr,grammar,P2_explicit_pivot,Explicit English pivot,test,8,0.3,4,3,0.75,0.75,0.75,0.0,0.75,0.75,0.0,0.75,0.8,0.050000000000000044
gpt-4.1-mini,tr,grammar,P3_bilingual,Bilingual rubric,calibration,4,0.3,4,3,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
gpt-4.1-mini,tr,grammar,P3_bilingual,Bilingual rubric,test,8,0.3,4,3,1.0,0.75,0.875,0.125,0.75,0.875,0.125,0.75,0.888888888888889,0.13888888888888895
gpt-4.1-mini,vi,comprehensibility,P0_direct_english,Direct English rubric,calibration,4,0.3,4,3,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
gpt-4.1-mini,vi,comprehensibility,P0_direct_english,Direct English rubric,test,8,0.3,4,3,1.0,0.875,0.75,-0.125,0.875,0.75,-0.125,0.8571428571428571,0.8,-0.05714285714285705
gpt-4.1-mini,vi,comprehensibility,P1_target_rubric,Target-language rubric,calibration,4,0.3,4,3,1.0,0.75,1.0,0.25,0.75,1.0,0.25,0.6666666666666666,1.0,0.33333333333333337
gpt-4.1-mini,vi,comprehensibility,P1_target_rubric,Target-language rubric,test,8,0.3,4,3,1.0,0.875,0.75,-0.125,0.875,0.75,-0.125,0.8571428571428571,0.75,-0.1071428571428571
gpt-4.1-mini,vi,comprehensibility,P2_explicit_pivot,Explicit English pivot,calibration,4,0.3,4,2,0.75,0.75,0.75,0.0,0.75,0.75,0.0,0.6666666666666666,0.8,0.13333333333333341
gpt-4.1-mini,vi,comprehensibility,P2_explicit_pivot,Explicit English pivot,test,8,0.3,4,2,0.75,0.875,0.5,-0.375,0.875,0.5,-0.375,0.8571428571428571,0.6666666666666666,-0.19047619047619047
gpt-4.1-mini,vi,comprehensibility,P3_bilingual,Bilingual rubric,calibration,4,0.3,4,2,0.75,0.75,0.75,0.0,0.75,0.75,0.0,0.6666666666666666,0.8,0.13333333333333341
gpt-4.1-mini,vi,comprehensibility,P3_bilingual,Bilingual rubric,test,8,0.3,4,2,0.75,1.0,0.625,-0.375,1.0,0.625,-0.375,1.0,0.7272727272727273,-0.2727272727272727
gpt-4.1-mini,vi,grammar,P0_direct_english,Direct English rubric,calibration,4,0.3,4,3,0.75,0.75,0.75,0.0,0.75,0.75,0.0,0.8,0.8,0.0
gpt-4.1-mini,vi,grammar,P0_direct_english,Direct English rubric,test,8,0.3,4,3,0.75,0.75,0.625,-0.125,0.75,0.625,-0.125,0.75,0.7272727272727273,-0.022727272727272707
gpt-4.1-mini,vi,grammar,P1_target_rubric,Target-language rubric,calibration,4,0.3,4,3,1.0,0.5,1.0,0.5,0.5,1.0,0.5,,1.0,
gpt-4.1-mini,vi,grammar,P1_target_rubric,Target-language rubric,test,8,0.3,4,3,1.0,0.75,0.625,-0.125,0.75,0.625,-0.125,0.75,0.7272727272727273,-0.022727272727272707
gpt-4.1-mini,vi,grammar,P2_explicit_pivot,Explicit English pivot,calibration,4,0.3,4,2,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.6666666666666666,0.16666666666666663
gpt-4.1-mini,vi,grammar,P2_explicit_pivot,Explicit English pivot,test,8,0.3,4,2,0.5,0.625,0.5,-0.125,0.625,0.5,-0.125,0.6666666666666665,0.6666666666666666,1.1102230246251565e-16
gpt-4.1-mini,vi,grammar,P3_bilingual,Bilingual rubric,calibration,4,0.3,4,3,0.75,0.75,0.75,0.0,0.75,0.75,0.0,0.6666666666666666,0.8,0.13333333333333341
gpt-4.1-mini,vi,grammar,P3_bilingual,Bilingual rubric,test,8,0.3,4,3,0.75,0.75,0.625,-0.125,0.75,0.625,-0.125,0.75,0.7272727272727273,-0.022727272727272707
